Dataset,Feature,Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1
pyarabic hamza tashkeel preprocessed,FastText,LinearSVM,0.156686626746507,0.025593675302430622,0.06448289119569396,0.03234781485234352,0.07387246580313667
pyarabic hamza tashkeel preprocessed,FastText,XGBoost,0.30439121756487025,0.2959613212417384,0.20912968198947546,0.22822547594046913,0.29857019261312956
pyarabic hamza tashkeel preprocessed,BERT,LinearSVM,0.7854291417165669,0.7429155705522132,0.7176003688549222,0.728521712875145,0.7850163541115286
pyarabic hamza tashkeel preprocessed,BERT,XGBoost,0.7714570858283433,0.7714061025442923,0.6749208028311016,0.7123248215170132,0.7699006547057018
pyarabic hamza tashkeel preprocessed,GPT,LinearSVM,0.7295409181636726,0.7052341748158213,0.6744174037789463,0.6859215545756256,0.7287325083248594
pyarabic hamza tashkeel preprocessed,GPT,XGBoost,0.7385229540918163,0.7633474196648651,0.6172977360654864,0.6610196003226264,0.7354015081682246
pyarabic punctuation only preprocessed,BoW,MultinomialNB,0.6676646706586826,0.6780895115409562,0.5070253852877462,0.5392368488097192,0.6596641962376856
pyarabic punctuation only preprocessed,BoW,LinearSVM,0.7145708582834331,0.6812192888696733,0.6509117922694896,0.6582879612461084,0.7136055059992557
pyarabic punctuation only preprocessed,BoW,XGBoost,0.6676646706586826,0.6381403574694472,0.5698254534383212,0.5926436005731591,0.6663055466852386
pyarabic punctuation only preprocessed,TF-IDF,MultinomialNB,0.6237524950099801,0.4561993778925981,0.36939453991949167,0.3790058901403891,0.60007631012068
pyarabic punctuation only preprocessed,TF-IDF,LinearSVM,0.7385229540918163,0.7183752654824609,0.6467312133464646,0.6740523074925512,0.7372742532175283
pyarabic punctuation only preprocessed,TF-IDF,XGBoost,0.6526946107784432,0.6391231481871289,0.5484886667594644,0.5828114496917811,0.6517463311080333
pyarabic punctuation only preprocessed,Word2Vec-SG,LinearSVM,0.29740518962075846,0.18769372234791004,0.17579300346790744,0.1595915770251733,0.2622862474104684
pyarabic punctuation only preprocessed,Word2Vec-SG,XGBoost,0.49201596806387227,0.4835410076527567,0.38186181482706705,0.4004541838016369,0.480641146079988
pyarabic punctuation only preprocessed,Word2Vec-CBOW,LinearSVM,0.2465069860279441,0.22094558591639044,0.1207291082952473,0.11113832333042488,0.19429884333479816
pyarabic punctuation only preprocessed,Word2Vec-CBOW,XGBoost,0.4151696606786427,0.4412583633379395,0.29810425933807744,0.3246162256613693,0.4070325316411339
pyarabic punctuation only preprocessed,FastText,LinearSVM,0.1596806387225549,0.03283023735810114,0.06560246059207997,0.02998029114838828,0.0703703974145298
pyarabic punctuation only preprocessed,FastText,XGBoost,0.3662674650698603,0.3253558110897122,0.2526799542054106,0.27072566932283687,0.35826218449835506
